id,name,omimid,description,created_at,updated_at
408,,309400,,2020-12-22 18:01:47,2020-12-22 18:01:47
409,,610377,,2020-12-22 18:01:47,2020-12-22 18:01:47
410,,300887,,2020-12-22 18:01:47,2020-12-22 18:01:47
411,,300952,,2020-12-22 18:01:47,2020-12-22 18:01:47
412,,309801,,2020-12-22 18:01:47,2020-12-22 18:01:47
413,,153100,,2020-12-22 18:01:47,2020-12-22 18:01:47
414,,247440,,2020-12-22 18:01:47,2020-12-22 18:01:47
415,,611944,,2020-12-22 18:01:47,2020-12-22 18:01:47
416,,613480,,2020-12-22 18:01:47,2020-12-22 18:01:47
417,,615907,,2020-12-22 18:01:47,2020-12-22 18:01:47
418,,158000,,2020-12-22 18:01:47,2020-12-22 18:01:47
419,,609180,,2020-12-22 18:01:48,2020-12-22 18:01:48
420,,602579,,2020-12-22 18:01:48,2020-12-22 18:01:48
421,,191900,,2020-12-22 18:01:48,2020-12-22 18:01:48
422,,252900,,2020-12-22 18:01:48,2020-12-22 18:01:48
423,,252920,,2020-12-22 18:01:48,2020-12-22 18:01:48
424,,252930,,2020-12-22 18:01:48,2020-12-22 18:01:48
425,,252940,,2020-12-22 18:01:48,2020-12-22 18:01:48
426,,164185,,2020-12-22 18:01:48,2020-12-22 18:01:48
427,,158320,,2020-12-22 18:01:48,2020-12-22 18:01:48
428,,114030,,2020-12-22 18:01:48,2020-12-22 18:01:48
429,,272200,,2020-12-22 18:01:48,2020-12-22 18:01:48
430,,151800,,2020-12-22 18:01:48,2020-12-22 18:01:48
431,,601776,,2020-12-22 18:01:48,2020-12-22 18:01:48
432,,615539,,2020-12-22 18:01:49,2020-12-22 18:01:49
433,,161000,,2020-12-22 18:01:49,2020-12-22 18:01:49
434,,161200,,2020-12-22 18:01:49,2020-12-22 18:01:49
435,,601214,,2020-12-22 18:01:49,2020-12-22 18:01:49
436,,607115,,2020-12-22 18:01:49,2020-12-22 18:01:49
437,,264090,,2020-12-22 18:01:49,2020-12-22 18:01:49
438,,614008,,2020-12-22 18:01:49,2020-12-22 18:01:49
439,,256500,,2020-12-22 18:01:49,2020-12-22 18:01:49
440,,256520,,2020-12-22 18:01:49,2020-12-22 18:01:49
441,,616038,,2020-12-22 18:01:49,2020-12-22 18:01:49
442,,249400,,2020-12-22 18:01:49,2020-12-22 18:01:49
443,,601321,,2020-12-22 18:01:49,2020-12-22 18:01:49
444,,109400,,2020-12-22 18:01:49,2020-12-22 18:01:49
445,,617025,,2020-12-22 18:01:50,2020-12-22 18:01:50
446,,242100,,2020-12-22 18:01:50,2020-12-22 18:01:50
447,,615022,,2020-12-22 18:01:50,2020-12-22 18:01:50
448,,615023,,2020-12-22 18:01:50,2020-12-22 18:01:50
449,,615024,,2020-12-22 18:01:50,2020-12-22 18:01:50
450,Noonan Syndrome 1,163950,,2020-12-22 18:01:50,2021-01-18 07:02:28
