id,disease_id,reference_id,created_at,updated_at
11665,699,29847,2021-04-28 01:38:00.472748,2021-04-28 01:38:00.472748
11666,2,22150,2021-04-28 01:38:11.456685,2021-04-28 01:38:11.456685
11667,677,29849,2021-04-28 01:38:54.647604,2021-04-28 01:38:54.647604
11668,95,7368,2021-04-28 01:39:25.564154,2021-04-28 01:39:25.564154
11669,689,29850,2021-04-28 01:39:39.511790,2021-04-28 01:39:39.511790
11670,689,29314,2021-04-28 01:39:39.673091,2021-04-28 01:39:39.673091
11671,466,29851,2021-04-28 01:39:41.703228,2021-04-28 01:39:41.703228
11672,204,5447,2021-04-28 01:39:52.124905,2021-04-28 01:39:52.124905
11673,46,4004,2021-04-28 01:40:31.030664,2021-04-28 01:40:31.030664
11674,677,29852,2021-04-28 01:40:49.963894,2021-04-28 01:40:49.963894
11675,315,29853,2021-04-28 01:40:52.236963,2021-04-28 01:40:52.236963
11676,677,29855,2021-04-28 01:41:03.681695,2021-04-28 01:41:03.681695
11677,692,29855,2021-04-28 01:41:03.857031,2021-04-28 01:41:03.857031
11678,119,21290,2021-04-28 01:41:13.278501,2021-04-28 01:41:13.278501
11679,677,1328,2021-04-28 01:41:13.427398,2021-04-28 01:41:13.427398
11680,370,29856,2021-04-28 01:41:14.014084,2021-04-28 01:41:14.014084
11681,398,16613,2021-04-28 01:41:14.184954,2021-04-28 01:41:14.184954
11682,364,29858,2021-04-28 01:41:14.767764,2021-04-28 01:41:14.767764
11683,297,29859,2021-04-28 01:41:15.113401,2021-04-28 01:41:15.113401
11684,297,29860,2021-04-28 01:41:15.286781,2021-04-28 01:41:15.286781
11685,297,18879,2021-04-28 01:41:15.765237,2021-04-28 01:41:15.765237
11686,297,29865,2021-04-28 01:41:15.994475,2021-04-28 01:41:15.994475
11687,297,29866,2021-04-28 01:41:16.186296,2021-04-28 01:41:16.186296
11688,297,132,2021-04-28 01:41:16.696863,2021-04-28 01:41:16.696863
11689,46,29876,2021-04-28 01:41:19.406821,2021-04-28 01:41:19.406821
11690,683,29877,2021-04-28 01:41:22.158702,2021-04-28 01:41:22.158702
11691,480,29878,2021-04-28 01:41:26.415123,2021-04-28 01:41:26.415123
11692,384,132,2021-04-28 01:41:31.664900,2021-04-28 01:41:31.664900
11693,384,28333,2021-04-28 01:41:31.804047,2021-04-28 01:41:31.804047
11694,384,29884,2021-04-28 01:41:32.617706,2021-04-28 01:41:32.617706
11695,384,29887,2021-04-28 01:41:32.960354,2021-04-28 01:41:32.960354
11696,93,29894,2021-04-28 01:41:45.853256,2021-04-28 01:41:45.853256
11697,466,29896,2021-04-28 01:41:48.231972,2021-04-28 01:41:48.231972
11698,499,29897,2021-04-28 01:41:48.451045,2021-04-28 01:41:48.451045
11699,514,29903,2021-04-28 01:41:49.407690,2021-04-28 01:41:49.407690
11700,481,29904,2021-04-28 01:41:49.760140,2021-04-28 01:41:49.760140
11701,46,3905,2021-04-28 01:42:16.245588,2021-04-28 01:42:16.245588
11702,204,10873,2021-04-28 01:42:16.540640,2021-04-28 01:42:16.540640
11703,333,29906,2021-04-28 01:42:41.534808,2021-04-28 01:42:41.534808
11704,169,29907,2021-04-28 01:43:31.261661,2021-04-28 01:43:31.261661
11705,66,13714,2021-04-28 01:43:36.308107,2021-04-28 01:43:36.308107
11706,683,29908,2021-04-28 01:43:53.150101,2021-04-28 01:43:53.150101
11707,682,16123,2021-04-28 01:43:58.487136,2021-04-28 01:43:58.487136
11708,366,29921,2021-04-28 01:44:00.508467,2021-04-28 01:44:00.508467
11709,688,29923,2021-04-28 01:44:12.394341,2021-04-28 01:44:12.394341
11710,869,29924,2021-04-28 01:44:34.715784,2021-04-28 01:44:34.715784
11711,882,29925,2021-04-28 01:44:41.689705,2021-04-28 01:44:41.689705
11712,274,29926,2021-04-28 01:44:43.549194,2021-04-28 01:44:43.549194
11713,274,132,2021-04-28 01:44:43.763598,2021-04-28 01:44:43.763598
11714,274,29927,2021-04-28 01:44:43.935251,2021-04-28 01:44:43.935251
11715,274,29931,2021-04-28 01:44:44.343465,2021-04-28 01:44:44.343465
11716,274,29936,2021-04-28 01:44:44.992123,2021-04-28 01:44:44.992123
11717,19,27729,2021-04-28 01:44:59.438511,2021-04-28 01:44:59.438511
11718,204,10672,2021-04-28 01:45:05.250009,2021-04-28 01:45:05.250009
11719,466,13923,2021-04-28 01:45:16.021792,2021-04-28 01:45:16.021792
11720,499,26000,2021-04-28 01:45:24.985708,2021-04-28 01:45:24.985708
11721,677,29944,2021-04-28 01:45:29.757460,2021-04-28 01:45:29.757460
11722,259,29946,2021-04-28 01:45:32.780449,2021-04-28 01:45:32.780449
11723,259,29947,2021-04-28 01:45:32.954311,2021-04-28 01:45:32.954311
11724,259,29954,2021-04-28 01:45:33.584824,2021-04-28 01:45:33.584824
11725,24,13523,2021-04-28 01:45:34.324096,2021-04-28 01:45:34.324096
11726,46,29957,2021-04-28 01:45:43.368209,2021-04-28 01:45:43.368209
11727,480,22969,2021-04-28 01:45:45.323458,2021-04-28 01:45:45.323458
11728,68,132,2021-04-28 01:45:46.222276,2021-04-28 01:45:46.222276
11729,68,27492,2021-04-28 01:45:46.348705,2021-04-28 01:45:46.348705
11730,68,29971,2021-04-28 01:45:47.844688,2021-04-28 01:45:47.844688
11731,68,27477,2021-04-28 01:45:48.943641,2021-04-28 01:45:48.943641
11732,68,27490,2021-04-28 01:45:50.295457,2021-04-28 01:45:50.295457
11733,181,30034,2021-04-28 01:45:57.110201,2021-04-28 01:45:57.110201
11734,204,30035,2021-04-28 01:45:59.792556,2021-04-28 01:45:59.792556
11735,229,11447,2021-04-28 01:46:05.455547,2021-04-28 01:46:05.455547
11736,699,30037,2021-04-28 01:46:12.634404,2021-04-28 01:46:12.634404
11737,391,30038,2021-04-28 01:46:44.178595,2021-04-28 01:46:44.178595
11738,143,30039,2021-04-28 01:46:54.548233,2021-04-28 01:46:54.548233
11739,19,30040,2021-04-28 01:47:08.487134,2021-04-28 01:47:08.487134
11740,369,30041,2021-04-28 01:47:16.086399,2021-04-28 01:47:16.086399
11741,369,30043,2021-04-28 01:47:16.363115,2021-04-28 01:47:16.363115
11742,119,30044,2021-04-28 01:47:20.835726,2021-04-28 01:47:20.835726
11743,877,3888,2021-04-28 01:47:26.042560,2021-04-28 01:47:26.042560
11744,39,30045,2021-04-28 01:48:05.584792,2021-04-28 01:48:05.584792
11745,682,30046,2021-04-28 01:48:31.720035,2021-04-28 01:48:31.720035
11746,413,30047,2021-04-28 01:48:56.092024,2021-04-28 01:48:56.092024
11747,169,30048,2021-04-28 01:49:27.974121,2021-04-28 01:49:27.974121
11748,688,27005,2021-04-28 01:50:10.877545,2021-04-28 01:50:10.877545
11749,19,8256,2021-04-28 01:50:22.786864,2021-04-28 01:50:22.786864
11750,270,26287,2021-04-28 01:50:45.004967,2021-04-28 01:50:45.004967
