id,phenotype_id,childhpo_id,created_at,updated_at
197,1054,9623,2021-01-19 16:57:55,2021-01-19 16:57:55
198,4856,2668,2021-01-19 16:57:58,2021-01-19 16:57:58
199,7880,272,2021-01-19 16:58:02,2021-01-19 16:58:02
200,272,3510,2021-01-19 16:58:03,2021-01-19 16:58:03
201,7880,9624,2021-01-19 16:58:06,2021-01-19 16:58:06
202,7880,3,2021-01-19 16:58:08,2021-01-19 16:58:08
203,7880,132,2021-01-19 16:58:09,2021-01-19 16:58:09
204,132,9625,2021-01-19 16:58:10,2021-01-19 16:58:10
205,132,2843,2021-01-19 16:58:12,2021-01-19 16:58:12
206,132,9626,2021-01-19 16:58:14,2021-01-19 16:58:14
207,132,9358,2021-01-19 16:58:16,2021-01-19 16:58:16
208,9358,5649,2021-01-19 16:58:17,2021-01-19 16:58:17
209,7880,1600,2021-01-19 16:58:21,2021-01-19 16:58:21
210,1600,9627,2021-01-19 16:58:22,2021-01-19 16:58:22
211,1600,9628,2021-01-19 16:58:24,2021-01-19 16:58:24
212,7880,3276,2021-01-19 16:58:27,2021-01-19 16:58:27
213,7880,879,2021-01-19 16:58:29,2021-01-19 16:58:29
214,7880,9423,2021-01-19 16:58:30,2021-01-19 16:58:30
215,7880,4033,2021-01-19 16:58:32,2021-01-19 16:58:32
216,4033,2061,2021-01-19 16:58:33,2021-01-19 16:58:33
217,4033,9629,2021-01-19 16:58:35,2021-01-19 16:58:35
218,4033,2375,2021-01-19 16:58:37,2021-01-19 16:58:37
219,2375,4435,2021-01-19 16:58:38,2021-01-19 16:58:38
220,2375,4024,2021-01-19 16:58:40,2021-01-19 16:58:40
221,4024,4025,2021-01-19 16:58:41,2021-01-19 16:58:41
222,4024,3392,2021-01-19 16:58:43,2021-01-19 16:58:43
223,4033,4032,2021-01-19 16:58:47,2021-01-19 16:58:47
224,4032,5113,2021-01-19 16:58:48,2021-01-19 16:58:48
225,4032,6635,2021-01-19 16:58:49,2021-01-19 16:58:49
226,4032,5111,2021-01-19 16:58:51,2021-01-19 16:58:51
227,4033,2064,2021-01-19 16:58:54,2021-01-19 16:58:54
228,7880,1813,2021-01-19 16:58:57,2021-01-19 16:58:57
229,7880,461,2021-01-19 16:58:59,2021-01-19 16:58:59
230,461,130,2021-01-19 16:59:00,2021-01-19 16:59:00
231,130,995,2021-01-19 16:59:01,2021-01-19 16:59:01
232,461,3318,2021-01-19 16:59:04,2021-01-19 16:59:04
233,461,726,2021-01-19 16:59:06,2021-01-19 16:59:06
234,726,1687,2021-01-19 16:59:06,2021-01-19 16:59:06
235,726,871,2021-01-19 16:59:08,2021-01-19 16:59:08
236,871,9135,2021-01-19 16:59:09,2021-01-19 16:59:09
237,871,1338,2021-01-19 16:59:11,2021-01-19 16:59:11
238,726,1555,2021-01-19 16:59:14,2021-01-19 16:59:14
239,1555,9630,2021-01-19 16:59:15,2021-01-19 16:59:15
240,461,2032,2021-01-19 16:59:19,2021-01-19 16:59:19
241,461,4,2021-01-19 16:59:21,2021-01-19 16:59:21
242,461,9631,2021-01-19 16:59:23,2021-01-19 16:59:23
243,461,994,2021-01-19 16:59:25,2021-01-19 16:59:25
244,994,1532,2021-01-19 16:59:26,2021-01-19 16:59:26
245,994,2746,2021-01-19 16:59:27,2021-01-19 16:59:27
246,2746,128,2021-01-19 16:59:28,2021-01-19 16:59:28
247,128,9632,2021-01-19 16:59:29,2021-01-19 16:59:29
248,2746,5116,2021-01-19 16:59:32,2021-01-19 16:59:32
249,5116,1533,2021-01-19 16:59:33,2021-01-19 16:59:33
250,461,2654,2021-01-19 16:59:38,2021-01-19 16:59:38
251,7880,9633,2021-01-19 16:59:41,2021-01-19 16:59:41
252,7880,9634,2021-01-19 16:59:43,2021-01-19 16:59:43
253,7880,6826,2021-01-19 16:59:45,2021-01-19 16:59:45
254,6826,1832,2021-01-19 16:59:46,2021-01-19 16:59:46
255,6826,1836,2021-01-19 16:59:47,2021-01-19 16:59:47
256,1836,9635,2021-01-19 16:59:48,2021-01-19 16:59:48
257,9635,9636,2021-01-19 16:59:49,2021-01-19 16:59:49
258,1836,9637,2021-01-19 16:59:52,2021-01-19 16:59:52
259,6826,9638,2021-01-19 16:59:55,2021-01-19 16:59:55
260,6826,6827,2021-01-19 16:59:57,2021-01-19 16:59:57
261,7880,363,2021-01-19 17:00:00,2021-01-19 17:00:00
262,363,9639,2021-01-19 17:00:01,2021-01-19 17:00:01
263,363,2411,2021-01-19 17:00:03,2021-01-19 17:00:03
264,363,7547,2021-01-19 17:00:05,2021-01-19 17:00:05
265,7547,9640,2021-01-19 17:00:06,2021-01-19 17:00:06
266,9640,9641,2021-01-19 17:00:07,2021-01-19 17:00:07
267,9640,9642,2021-01-19 17:00:09,2021-01-19 17:00:09
268,7547,9635,2021-01-19 17:00:11,2021-01-19 17:00:11
269,7547,2134,2021-01-19 17:00:15,2021-01-19 17:00:15
270,363,9643,2021-01-19 17:00:18,2021-01-19 17:00:18
271,363,255,2021-01-19 17:00:20,2021-01-19 17:00:20
272,363,9644,2021-01-19 17:00:22,2021-01-19 17:00:22
273,363,9645,2021-01-19 17:00:24,2021-01-19 17:00:24
274,363,69,2021-01-19 17:00:26,2021-01-19 17:00:26
275,69,6647,2021-01-19 17:00:27,2021-01-19 17:00:27
276,69,1694,2021-01-19 17:00:29,2021-01-19 17:00:29
