id,hpo,sider,name,description,created_at,updated_at,related_to,gene_phenotype_relationships_count,disease_phenotype_relationships_count
151,HP:0000968,,Ectodermal dysplasia,"Ectodermal dysplasia is a group of conditions in which there is abnormal development of the skin, hair, nails, teeth, or sweat glands.",2020-12-24 16:26:01,2021-01-19 17:03:23,skin,28,20
152,HP:0009473,,Joint contracture of the hand,,2020-12-24 16:26:01,2020-12-24 16:26:01,,224,8
153,HP:0000535,,Sparse and thin eyebrow,,2020-12-24 16:26:01,2020-12-24 16:26:01,,62,33
154,HP:0000653,,Sparse eyelashes,,2020-12-24 16:26:01,2020-12-24 16:26:01,,64,30
155,HP:0001171,,Split hand,,2020-12-24 16:26:01,2020-12-24 16:26:01,,59,10
156,HP:0000023,,Inguinal hernia,,2020-12-24 16:26:01,2020-12-24 16:26:01,,241,29
157,HP:0000407,,Sensorineural hearing impairment,,2020-12-24 16:26:01,2020-12-24 16:26:01,,808,48
158,HP:0003510,,Severe short stature,,2020-12-24 16:26:01,2020-12-24 16:26:01,,92,17
159,HP:0000615,,Abnormal pupil morphology,,2020-12-24 16:26:01,2020-12-24 16:26:01,,53,5
160,HP:0000682,,Abnormality of dental enamel,,2020-12-24 16:26:01,2020-12-24 16:26:01,,166,28
161,HP:0000819,,Diabetes mellitus,,2020-12-24 16:26:01,2020-12-24 16:26:01,,417,17
162,HP:0007392,,Excessive wrinkled skin,,2020-12-24 16:26:01,2021-01-19 17:03:08,skin,33,7
163,HP:0000501,,Glaucoma,,2020-12-24 16:26:01,2020-12-24 16:26:01,,324,25
164,HP:0000855,,Insulin resistance,,2020-12-24 16:26:01,2020-12-24 16:26:01,,75,15
165,HP:0000485,,Megalocornea,,2020-12-24 16:26:01,2020-12-24 16:26:01,,38,4
166,HP:0011800,,Midface retrusion,,2020-12-24 16:26:01,2020-12-24 16:26:01,,254,19
167,HP:0002167,,Neurological speech impairment,,2020-12-24 16:26:01,2020-12-24 16:26:01,,1113,11
168,HP:0004396,,Poor appetite,,2020-12-24 16:26:02,2020-12-24 16:26:02,,32,7
169,HP:0008070,,Sparse hair,,2020-12-24 16:26:02,2020-12-24 16:26:02,,309,57
170,HP:0001824,,Weight loss,,2020-12-24 16:26:02,2020-12-24 16:26:02,,269,21
171,HP:0000277,,Abnormality of the mandible,,2020-12-24 16:26:02,2020-12-24 16:26:02,,892,1
172,HP:0001156,,Brachydactyly,,2020-12-24 16:26:02,2020-12-24 16:26:02,,325,37
173,HP:0000272,,Malar flattening,,2020-12-24 16:26:02,2020-12-24 16:26:02,,198,22
174,HP:0000627,,Posterior embryotoxon,,2020-12-24 16:26:02,2020-12-24 16:26:02,,45,3
175,HP:0011220,,Prominent forehead,,2020-12-24 16:26:02,2020-12-24 16:26:02,,191,13
176,HP:0000336,,Prominent supraorbital ridges,,2020-12-24 16:26:02,2020-12-24 16:26:02,,39,4
177,HP:0004279,,Short palm,,2020-12-24 16:26:02,2020-12-24 16:26:02,,105,11
178,HP:0000506,,Telecanthus,,2020-12-24 16:26:02,2020-12-24 16:26:02,,142,22
179,HP:0000325,,Triangular face,,2020-12-24 16:26:02,2020-12-24 16:26:02,,118,11
180,HP:0000431,,Wide nasal bridge,,2020-12-24 16:26:02,2020-12-24 16:26:02,,495,36
181,HP:0002715,,Abnormality of the immune system,,2020-12-24 16:26:02,2020-12-24 16:26:02,,1668,1
182,HP:0000951,,Abnormality of the skin,An abnormality of the skin.,2020-12-24 16:26:02,2021-01-19 15:58:45,,1881,12
183,HP:0003561,,Birth length less than 3rd percentile,,2020-12-24 16:26:02,2020-12-24 16:26:02,,14,1
184,HP:0000518,,Cataract,,2020-12-24 16:26:02,2020-12-24 16:26:02,,700,63
185,HP:0030084,,Clinodactyly,,2020-12-24 16:26:02,2020-12-24 16:26:02,,470,12
186,HP:0000684,,Delayed eruption of teeth,,2020-12-24 16:26:02,2020-12-24 16:26:02,,165,29
187,HP:0002750,,Delayed skeletal maturation,,2020-12-24 16:26:02,2020-12-24 16:26:02,,303,30
188,HP:0000750,,Delayed speech and language development,,2020-12-24 16:26:02,2020-12-24 16:26:02,,782,11
189,HP:0000689,,Dental malocclusion,,2020-12-24 16:26:02,2020-12-24 16:26:02,,105,11
190,HP:0010751,,Dimple chin,,2020-12-24 16:26:02,2020-12-24 16:26:02,,15,2
191,HP:0002714,,Downturned corners of mouth,,2020-12-24 16:26:02,2020-12-24 16:26:02,,138,6
192,HP:0010580,,Enlarged epiphyses,,2020-12-24 16:26:02,2020-12-24 16:26:02,,14,1
193,HP:0003074,,Hyperglycemia,,2020-12-24 16:26:02,2020-12-24 16:26:02,,43,8
194,HP:0000668,,Hypodontia,,2020-12-24 16:26:02,2020-12-24 16:26:02,,174,33
195,HP:0000831,,Insulin-resistant diabetes mellitus,,2020-12-24 16:26:02,2020-12-24 16:26:02,,38,8
196,HP:0001511,,Intrauterine growth retardation,,2020-12-24 16:26:02,2020-12-24 16:26:02,,504,29
197,HP:0100578,,Lipoatrophy,,2020-12-24 16:26:02,2020-12-24 16:26:02,,70,16
198,HP:0000400,,Macrotia,,2020-12-24 16:26:02,2020-12-24 16:26:02,,219,29
199,HP:0000347,,Micrognathia,,2020-12-24 16:26:02,2020-12-24 16:26:02,,697,47
200,HP:0000545,,Myopia,,2020-12-24 16:26:02,2020-12-24 16:26:02,,350,40
201,HP:0100678,,Premature skin wrinkling,The presence of an increased degree of wrinkling (irregular folds and indentations) of the skin as compared with age-related norms.,2020-12-24 16:26:02,2021-01-19 17:03:03,skin,50,6
202,HP:0009466,,Radial deviation of finger,,2020-12-24 16:26:02,2020-12-24 16:26:02,,59,6
203,HP:0000558,,Rieger anomaly,,2020-12-24 16:26:02,2020-12-24 16:26:02,,12,2
204,HP:0001518,,Small for gestational age,,2020-12-24 16:26:02,2020-12-24 16:26:02,,215,9
205,HP:0000430,,Underdeveloped nasal alae,,2020-12-24 16:26:03,2020-12-24 16:26:03,,81,14
206,HP:0000502,,Abnormal conjunctiva morphology,,2020-12-24 16:26:03,2020-12-24 16:26:03,,140,3
207,HP:0007455,,Adermatoglyphia,,2020-12-24 16:26:03,2021-01-19 17:10:36,skin,4,3
208,HP:0002293,,Alopecia of scalp,,2020-12-24 16:26:03,2020-12-24 16:26:03,,26,10
209,HP:0007550,,Hypohidrosis or hyperhidrosis,,2020-12-24 16:26:03,2020-12-24 16:26:03,,192,1
210,HP:0008404,,Nail dystrophy,,2020-12-24 16:26:03,2020-12-24 16:26:03,,114,47
211,HP:0000972,,Palmoplantar hyperkeratosis,Hyperkeratosis affecting the palm of the hand and the sole of the foot.,2020-12-24 16:26:03,2021-01-19 17:08:04,skin,34,23
212,HP:0007588,,Reticular hyperpigmentation,Increased pigmentation of the skin with a netlike (reticular) pattern.,2020-12-24 16:26:03,2021-01-19 17:14:33,skin,7,6
213,HP:0012788,,Reticulate pigmentation of oral mucosa,,2020-12-24 16:26:03,2020-12-24 16:26:03,,1,1
214,HP:0003002,,Breast carcinoma,,2020-12-24 16:26:03,2020-12-24 16:26:03,,62,11
215,HP:0200063,,Colorectal polyposis,,2020-12-24 16:26:03,2020-12-24 16:26:03,,23,1
216,HP:0100780,,Conjunctival hamartoma,,2020-12-24 16:26:03,2020-12-24 16:26:03,,11,2
