id,disease_id,name,description,created_at,updated_at,umlsid,phenotype_id
150,,,,2020-12-22 18:01:32,2020-12-22 18:01:32,C1275088,NULL
151,,,,2020-12-22 18:01:32,2020-12-22 18:01:32,C0406775,NULL
152,,,,2020-12-22 18:01:32,2020-12-22 18:01:32,C1306229,NULL
153,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C0265965,NULL
154,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C0079294,NULL
155,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C1858302,NULL
156,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C1851858,NULL
157,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C1832444,NULL
158,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C1832411,NULL
159,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C0406704,NULL
160,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C1851841,NULL
161,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C1857041,NULL
162,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C0406555,NULL
163,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C0221271,NULL
164,,,,2020-12-22 18:01:33,2020-12-22 18:01:33,C0013903,NULL
165,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0406612,NULL
166,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0014522,NULL
167,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C2931072,NULL
168,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0079293,NULL
169,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0079298,NULL
170,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0432316,NULL
171,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0079295,NULL
172,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0079299,NULL
173,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0080333,NULL
