id,disease_gene_id,reference_id,created_at,updated_at
13488,12162,132,2021-04-27 21:49:03.549491,2021-04-27 21:49:03.549491
13489,27,216,2021-04-27 21:49:03.923883,2021-04-27 21:49:03.923883
13490,27,132,2021-04-27 21:49:04.000723,2021-04-27 21:49:04.000723
13491,27,26851,2021-04-27 21:49:04.128603,2021-04-27 21:49:04.128603
13492,12163,7172,2021-04-27 21:49:06.160853,2021-04-27 21:49:06.160853
13493,12164,26854,2021-04-27 21:49:08.790898,2021-04-27 21:49:08.790898
13494,12165,26855,2021-04-27 21:49:18.118572,2021-04-27 21:49:18.118572
13495,12166,132,2021-04-27 21:49:21.162160,2021-04-27 21:49:21.162160
13496,12167,19414,2021-04-27 21:49:30.821203,2021-04-27 21:49:30.821203
13497,12168,19416,2021-04-27 21:49:30.991492,2021-04-27 21:49:30.991492
13498,12169,21207,2021-04-27 21:49:36.489882,2021-04-27 21:49:36.489882
13499,12170,26856,2021-04-27 21:49:42.919116,2021-04-27 21:49:42.919116
13500,12171,6035,2021-04-27 21:49:44.498452,2021-04-27 21:49:44.498452
13501,12172,22785,2021-04-27 21:49:48.083663,2021-04-27 21:49:48.083663
13502,12173,26216,2021-04-27 21:49:49.731728,2021-04-27 21:49:49.731728
13503,12173,9696,2021-04-27 21:49:49.903722,2021-04-27 21:49:49.903722
13504,12173,132,2021-04-27 21:49:50.080953,2021-04-27 21:49:50.080953
13505,12173,23086,2021-04-27 21:49:50.413846,2021-04-27 21:49:50.413846
13506,12174,26869,2021-04-27 21:49:53.050565,2021-04-27 21:49:53.050565
13507,12175,26870,2021-04-27 21:49:54.255267,2021-04-27 21:49:54.255267
13508,12175,23086,2021-04-27 21:49:54.886103,2021-04-27 21:49:54.886103
13509,12176,25266,2021-04-27 21:49:56.248737,2021-04-27 21:49:56.248737
13510,12177,23125,2021-04-27 21:49:59.418722,2021-04-27 21:49:59.418722
13511,12178,4689,2021-04-27 21:50:01.541576,2021-04-27 21:50:01.541576
13512,12179,26889,2021-04-27 21:50:03.598773,2021-04-27 21:50:03.598773
13513,12180,2507,2021-04-27 21:50:05.842015,2021-04-27 21:50:05.842015
13514,12181,2507,2021-04-27 21:50:06.616863,2021-04-27 21:50:06.616863
13515,12182,17783,2021-04-27 21:50:07.237507,2021-04-27 21:50:07.237507
13516,12183,26890,2021-04-27 21:50:10.037973,2021-04-27 21:50:10.037973
13517,12184,18486,2021-04-27 21:50:11.432219,2021-04-27 21:50:11.432219
