head,relation,tail
icd11:719536791,is_a,icd11:1018027038
icd11:1573156261,is_a,icd11:317659058
icd11:541009954,is_a,icd11:38557253
icd11:1816007840,is_a,icd11:1233842528
icd11:1767901586,is_a,icd11:488336723
icd11:385674088,is_a,icd11:76047637
icd11:385674088,is_a,icd11:306281816
icd11:1678463194,is_a,icd11:98595592
icd11:1412221345,is_a,icd11:1056274204
icd11:1945204699,is_a,icd11:823052941
icd11:222407548,is_a,icd11:1259219261
icd11:913864335,is_a,icd11:1802341051
icd11:1902973919,is_a,icd11:316575662
icd11:614000128,is_a,icd11:1026551291
icd11:1076180398,is_a,icd11:21864052
icd11:18206903,is_a,icd11:1072978670
icd11:985332552,is_a,icd11:1486114885
icd11:611851027,is_a,icd11:1504434405
icd11:1858371538,is_a,icd11:831995767
icd11:595492502,is_a,icd11:1665042685
icd11:131378528,is_a,icd11:705200672
icd11:1361333197,is_a,icd11:636081762
icd11:1471948086,is_a,icd11:1922613180
icd11:67208630,is_a,icd11:1674422101
icd11:67208630,is_a,icd11:1137091406
icd11:163537370,is_a,icd11:1643733121
icd11:163537370,is_a,icd11:1056452314
icd11:1256355296,is_a,icd11:1231509064
icd11:1064517384,is_a,icd11:1365092075
icd11:107388709,is_a,icd11:30770553
icd11:2061271525,is_a,icd11:343905295
icd11:706519644,is_a,icd11:832786122
icd11:500716388,is_a,icd11:2007777621
icd11:1598961655,is_a,icd11:1039486422
icd11:1598961655,is_a,icd11:1512739299
icd11:1065104756,is_a,icd11:1807730236
icd11:175216536,is_a,icd11:2040265542
icd11:21232429,is_a,icd11:522973276
icd11:436079981,is_a,icd11:2064431086
icd11:835880885,is_a,icd11:1404622826
icd11:1125881661,is_a,icd11:1873247529
icd11:1624623908,is_a,icd11:261248609
icd11:1941547119,is_a,icd11:1223911519
icd11:1941547119,is_a,icd11:1205950456
icd11:777941283,is_a,icd11:1255912593
icd11:707540125,is_a,icd11:1389026615
icd11:1414797713,is_a,icd11:1878195719
icd11:523990565,is_a,icd11:1056888958
icd11:946135091,is_a,icd11:69687028
icd11:967695250,is_a,icd11:2044170142
icd11:1011705244,is_a,icd11:216625985
icd11:550889838,is_a,icd11:1934975006
icd11:670519908,is_a,icd11:928435705
icd11:1314778844,is_a,icd11:1212361548
icd11:1084365812,is_a,icd11:419739921
icd11:910632716,is_a,icd11:1576710885
icd11:837824031,is_a,icd11:1819307779
icd11:837824031,is_a,icd11:1343350087
icd11:1925980328,is_a,icd11:348731277
icd11:809462926,is_a,icd11:144637523
icd11:1802744047,is_a,icd11:1189946017
icd11:1167696989,is_a,icd11:1556117837
icd11:1167696989,is_a,icd11:1504032289
icd11:647749158,is_a,icd11:134161404
icd11:751866280,is_a,icd11:59210425
icd11:448453795,is_a,icd11:1202062855
icd11:809274283,is_a,icd11:121657546
icd11:1358020385,is_a,icd11:1998421548
icd11:1360191460,is_a,icd11:902107952
icd11:395290836,is_a,icd11:1721328596
icd11:17087877,is_a,icd11:595701953
icd11:17087877,is_a,icd11:1443941730
icd11:1454063618,is_a,icd11:1975361268
icd11:1471544573,is_a,icd11:1984759911
